datetime,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,day_of_week,day_of_year,week,pm10_lag1,pm10_lag3,pm2_5_lag1,aqi_lag1,co_lag12,pm_ratio,pm2_5_x_no2,so2_x_pm10,aqi_change_rate,aqi_trend3,aqi_trend6,target_aqi_72h
2025-02-01 17:00:00,1738411200,5.0,1628.88,2.63,61.01,175.95,55.31,165.5,239.71,10.51,17,1,2,5,32,5,303.37,273.66,220.63,5.0,634.19,0.6904175850385149,10097.154999999999,13258.360100000002,0.0,0.0,0.0,3.0
2025-02-01 18:00:00,1738414800,5.0,1375.2,0.54,56.89,133.04,39.58,110.78,177.23,10.13,18,1,2,5,32,5,239.71,318.14,165.5,5.0,747.68,0.625063473311158,6302.2742,7014.763399999999,0.0,0.0,0.0,3.0
2025-02-01 19:00:00,1738418400,5.0,1615.52,0.0,71.29,87.26,27.18,89.21,148.89,15.2,19,1,2,5,32,5,177.23,303.37,110.78,5.0,1134.87,0.5991671663700238,6359.7809,4046.8301999999994,0.0,0.0,0.0,3.0
2025-02-01 20:00:00,1738422000,5.0,1922.61,0.0,78.83,69.38,23.84,92.42,149.37,22.55,20,1,2,5,32,5,148.89,239.71,89.21,5.0,2243.04,0.6187320036236728,7285.4686,3560.9808000000003,0.0,0.0,0.0,3.0
2025-02-01 21:00:00,1738425600,5.0,2243.04,0.0,83.63,58.65,27.18,111.84,169.42,30.65,21,1,2,5,32,5,149.37,177.23,92.42,5.0,4112.24,0.6601345728949678,9353.1792,4604.835599999999,0.0,0.0,0.0,3.0
2025-02-01 22:00:00,1738429200,5.0,2590.18,0.0,90.48,42.92,31.47,135.08,192.58,39.01,22,1,2,5,32,5,169.42,148.89,111.84,5.0,5554.2,0.7014227816937233,12222.038400000001,6060.4926000000005,0.0,0.0,0.0,4.0
2025-02-01 23:00:00,1738432800,5.0,2910.61,0.04,97.33,26.46,33.86,150.99,207.7,46.61,23,1,2,5,32,5,192.58,149.37,135.08,5.0,5767.82,0.7269619608716325,14695.8567,7032.722,0.0,0.0,0.0,4.0
2025-02-02 00:00:00,1738436400,5.0,2750.4,0.06,90.48,23.25,30.99,136.64,190.72,43.57,0,2,2,6,33,5,207.7,169.42,150.99,5.0,2590.18,0.7164429492636171,12363.187199999998,5910.4128,0.0,0.0,0.0,4.0
2025-02-02 01:00:00,1738440000,5.0,2109.53,0.0,65.8,36.12,24.08,98.25,146.94,31.66,1,2,2,6,33,5,190.72,192.58,136.64,5.0,2536.77,0.6686402567807251,6464.849999999999,3538.3151999999995,0.0,0.0,0.0,3.0
2025-02-02 02:00:00,1738443600,4.0,1468.66,0.0,41.47,54.36,19.31,70.04,113.14,23.05,2,2,2,6,33,5,146.94,207.7,98.25,5.0,2830.51,0.6190560312970124,2904.5588000000002,2184.7334,-1.0,-1.0,-1.0,3.0
2025-02-02 03:00:00,1738447200,4.0,1121.52,0.0,27.42,67.95,17.17,58.87,97.89,20.01,3,2,2,6,33,5,113.14,190.72,70.04,4.0,2803.8,0.6013893083932035,1614.2154,1680.7713,0.0,-1.0,-1.0,3.0
2025-02-02 04:00:00,1738450800,4.0,1001.36,0.0,21.93,73.67,16.45,55.75,91.86,19.25,4,2,2,6,33,5,97.89,146.94,58.87,4.0,2269.74,0.6069018004909449,1222.5975,1511.097,0.0,-1.0,-1.0,3.0
2025-02-02 05:00:00,1738454400,4.0,974.66,0.0,20.56,74.39,16.69,55.32,89.45,19.25,5,2,2,6,33,5,91.86,113.14,55.75,4.0,1628.88,0.6184460523371039,1137.3791999999999,1492.9205000000002,0.0,0.0,-1.0,4.0
2025-02-02 06:00:00,1738458000,4.0,1014.71,0.0,22.28,72.96,17.17,56.56,89.76,20.01,6,2,2,6,33,5,89.45,97.89,55.32,4.0,1375.2,0.6301247701634941,1260.1568000000002,1541.1792000000003,0.0,0.0,-1.0,4.0
2025-02-02 07:00:00,1738461600,4.0,1295.09,0.0,32.56,65.8,19.55,67.66,103.07,23.81,7,2,2,6,33,5,89.76,91.86,56.56,4.0,1615.52,0.6564470684345876,2203.0096,2015.0185,0.0,0.0,-1.0,5.0
2025-02-02 08:00:00,1738465200,5.0,2216.34,0.28,67.86,38.27,25.99,106.66,149.98,36.48,8,2,2,6,33,5,103.07,89.45,67.66,4.0,1922.61,0.7111614834567177,7237.9475999999995,3897.9801999999995,1.0,1.0,1.0,5.0
2025-02-02 09:00:00,1738468800,5.0,3337.86,15.42,97.33,19.67,32.9,144.5,198.3,48.13,9,2,2,6,33,5,149.98,89.76,106.66,5.0,2243.04,0.7286938944594357,14064.185,6524.07,0.0,1.0,1.0,5.0
2025-02-02 10:00:00,1738472400,5.0,3738.4,33.53,94.59,27.54,35.76,150.37,210.91,50.66,10,2,2,6,33,5,198.3,103.07,144.5,5.0,2590.18,0.7129581304207571,14223.498300000001,7542.141599999999,0.0,1.0,1.0,5.0
2025-02-02 11:00:00,1738476000,5.0,3017.43,23.69,80.2,53.64,35.76,127.37,186.05,43.06,11,2,2,6,33,5,210.91,149.98,150.37,5.0,2910.61,0.6846009100532066,10215.074,6653.148,0.0,0.0,1.0,5.0
2025-02-02 12:00:00,1738479600,4.0,988.01,3.3,23.65,131.61,28.37,66.82,109.2,12.54,12,2,2,6,33,5,186.05,198.3,127.37,5.0,2750.4,0.6119047563012384,1580.2929999999997,3098.0040000000004,-1.0,-1.0,0.0,5.0
2025-02-02 13:00:00,1738483200,4.0,720.98,1.79,14.57,151.63,27.42,61.36,100.19,7.92,13,2,2,6,33,5,109.2,210.91,66.82,4.0,2109.53,0.6124363647825495,894.0152,2747.2098,0.0,-1.0,0.0,5.0
2025-02-02 14:00:00,1738486800,4.0,727.65,1.82,15.77,157.36,30.28,62.69,101.53,7.66,14,2,2,6,33,5,100.19,186.05,61.36,4.0,1468.66,0.6174529634841627,988.6212999999999,3074.3284000000003,0.0,-1.0,-1.0,5.0
2025-02-02 15:00:00,1738490400,4.0,754.36,1.82,17.82,157.36,31.95,63.75,101.84,7.73,15,2,2,6,33,5,101.53,109.2,62.69,4.0,1121.52,0.6259819262963283,1136.025,3253.788,0.0,0.0,-1.0,5.0
