feature,mean_abs_shap
timestamp,0.3615836938044468
day,0.10456695964051546
no,0.03618630718641472
co_lag12,0.03412211657064973
no2,0.030568176252430333
day_of_week,0.028402019628546767
pm_ratio,0.021241701132751076
day_of_year,0.019131643045494563
so2,0.01642391237499808
hour,0.014821173188182662
so2_x_pm10,0.014340353023882854
pm10_lag3,0.012894075562767438
co,0.01219872147144639
o3,0.01089184091496667
nh3,0.007410370167982072
pm2_5_x_no2,0.005852510713590665
pm10,0.004012106500993305
pm2_5_lag1,0.0029761762159772986
week,0.0027420554601203756
pm2_5,0.0026872515527236345
pm10_lag1,0.0026312610160519456
aqi_trend6,0.0009450930848373074
month,0.0006429013061570352
aqi,0.00047498352661534264
aqi_lag1,0.0004111973529577335
aqi_trend3,0.00027145142964131853
aqi_change_rate,4.379625031184637e-05
